feature,target,score_ind,score_rd,score_full,varExp_ofFull,varExp_ofRd,feat_idx,feat_gene,feat_source,Class
PDXP (ENSG00000241360) [RNA-seq],SNRPB2,-0.10376,0.15220999999999998,0.11606,-0.89402,-0.68169,6,PDXP,RNA-seq,17
PHF11 (ENSG00000136147) [RNA-seq],GGNBP2,-0.03507,0.3658,0.09516,-0.36854,-0.09587,5,PHF11,RNA-seq,17
RIC1 (57589) [CERES],GGNBP2,-0.0704,0.3658,0.09516,-0.7398100000000001,-0.19245,6,RIC1,CERES,21
RIC1 (57589) [CERES],JTB,-0.06675,0.45966,0.13427999999999998,-0.4971,-0.14522000000000002,7,RIC1,CERES,21
RIC1 (57589) [CERES],RAB6A,0.30033000000000004,0.60053,0.21328000000000005,1.40815,0.50011,2,RIC1,CERES,21
RIC1 (57589) [CERES],VPS52,0.030080000000000006,0.50338,0.06423999999999999,0.46824,0.05976,4,RIC1,CERES,21
RIC1 (57589) [CERES],VPS54,0.01954,0.56274,0.00397,4.92191,0.03472,9,RIC1,CERES,21
MOB4 (25843) [CERES],GGNBP2,-0.00151,0.3658,0.09516,-0.01587,-0.00413,7,MOB4,CERES,13
MOB4 (25843) [CERES],RIC8A,-0.05739,0.57592,0.0565,-1.01575,-0.09965,7,MOB4,CERES,13
DHRS11 (79154) [CERES],GGNBP2,0.09369,0.3658,0.09516,0.98455,0.25612,8,DHRS11,CERES,17
IL15RA (ENSG00000134470) [RNA-seq],GGNBP2,0.06885,0.3658,0.09516,0.7235199999999999,0.18822,9,IL15RA,RNA-seq,32
IL15RA (ENSG00000134470) [RNA-seq],GMNN,-0.014980000000000004,0.11228,0.08943999999999999,-0.16749,-0.13342,9,IL15RA,RNA-seq,32
DOCK5 (80005) [CERES],GGNBP2,-0.05664,0.3658,0.09516,-0.59521,-0.15484,10,DOCK5,CERES,17
DOCK5 (80005) [CERES],KCTD5,-0.0421,0.20339,0.00889,-4.73566,-0.20699,10,DOCK5,CERES,17
DOCK5 (80005) [CERES],KRAS,0.01761,0.58865,0.11758,0.14977,0.02992,4,DOCK5,CERES,17
DOCK5 (80005) [CERES],TEAD1,0.07025,0.23704,0.16594,0.42335,0.29636,4,DOCK5,CERES,17
ISCA2 (122961) [CERES],GLRX5,0.42867,0.49141,0.09614,4.45881,0.8723299999999999,1,ISCA2,CERES,16
NDUFAF4 (29078) [CERES],GLRX5,0.11935,0.49141,0.09614,1.24142,0.24287,3,NDUFAF4,CERES,16
NDUFAF4 (29078) [CERES],NDUFA6,0.33935,0.7156399999999999,0.15245,2.22598,0.47419,7,NDUFAF4,CERES,16
NDUFAF4 (29078) [CERES],NDUFB10,0.3999,0.74712,0.1434,2.7887,0.5352600000000001,4,NDUFAF4,CERES,16
NDUFAF4 (29078) [CERES],NDUFB6,0.30521,0.63227,0.15713,1.9424,0.48272,10,NDUFAF4,CERES,16
NDUFAF4 (29078) [CERES],NDUFV2,0.34721,0.71028,0.11396,3.04677,0.48884,4,NDUFAF4,CERES,16
GTPBP8 (29083) [CERES],GLRX5,0.14378,0.49141,0.09614,1.49553,0.29259,5,GTPBP8,CERES,16
NFU1 (27247) [CERES],GLRX5,0.12226,0.49141,0.09614,1.27169,0.24879,6,NFU1,CERES,16
NDUFB10 (4716) [CERES],GLRX5,0.07342,0.49141,0.09614,0.76368,0.14941,9,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFA6,0.5147,0.7156399999999999,0.15245,3.37619,0.71922,3,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFA8,0.68516,0.7276199999999999,0.15250999999999998,4.49256,0.94165,3,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFB11,0.5715600000000001,0.7035399999999999,0.11424,5.00315,0.8124100000000001,1,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFB6,0.49953,0.63227,0.15713,3.17909,0.79006,3,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFC2,0.63964,0.75047,0.1407,4.546130000000002,0.8523200000000001,4,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFS1,0.47738,0.75866,0.16605,2.87492,0.6292399999999999,6,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFS8,0.53977,0.73785,0.12766,4.22818,0.73154,7,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],NDUFV2,0.55002,0.71028,0.11396,4.82643,0.77437,6,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],UQCR10,0.34583,0.66747,0.12317,2.80775,0.51812,8,NDUFB10,CERES,16
NDUFB10 (4716) [CERES],UQCRC2,0.30925,0.69625,0.16471,1.87754,0.44417,10,NDUFB10,CERES,16
NDUFA8 (4702) [CERES],GLRX5,0.14059000000000002,0.49141,0.09614,1.46235,0.2861,10,NDUFA8,CERES,16
NDUFA8 (4702) [CERES],NDUFB10,0.6824100000000001,0.74712,0.1434,4.75879,0.91339,7,NDUFA8,CERES,16
NDUFA8 (4702) [CERES],NDUFS1,0.55337,0.75866,0.16605,3.33255,0.7294,7,NDUFA8,CERES,16
NDUFA8 (4702) [CERES],NDUFS8,0.6199600000000001,0.73785,0.12766,4.85634,0.8402200000000001,2,NDUFA8,CERES,16
NDUFA8 (4702) [CERES],UQCR10,0.2543,0.66747,0.12317,2.06463,0.38099,9,NDUFA8,CERES,16
AC013268.3 (ENSG00000235721) [RNA-seq],GMNN,0.02022,0.11228,0.08943999999999999,0.22607,0.18009,2,AC013268.3,RNA-seq,32
FAM83G (ENSG00000188522) [RNA-seq],GMNN,-0.00573,0.11228,0.08943999999999999,-0.06407,-0.05103,3,FAM83G,RNA-seq,32
FAM83G (ENSG00000188522) [RNA-seq],INTS6,-0.06981,0.28944000000000003,0.04528,-1.54174,-0.24119,7,FAM83G,RNA-seq,32
MB (ENSG00000198125) [RNA-seq],GMNN,0.0083,0.11228,0.08943999999999999,0.0928,0.07392,4,MB,RNA-seq,32
GSTO2 (ENSG00000065621) [RNA-seq],GMNN,-0.06597,0.11228,0.08943999999999999,-0.73759,-0.58755,5,GSTO2,RNA-seq,32
NCKAP5L (ENSG00000167566) [RNA-seq],GMNN,-0.07174,0.11228,0.08943999999999999,-0.8021,-0.63894,6,NCKAP5L,RNA-seq,32
AP1S3 (ENSG00000152056) [RNA-seq],GMNN,0.03035,0.11228,0.08943999999999999,0.33933,0.27031,7,AP1S3,RNA-seq,32
SAMD12 (ENSG00000177570) [RNA-seq],GMNN,-0.03819,0.11228,0.08943999999999999,-0.42699,-0.34013000000000004,8,SAMD12,RNA-seq,32
ENO1 (2023) [CERES],GPI,0.019180000000000003,0.29691,0.03684,0.52063,0.0646,2,ENO1,CERES,6
ENO1 (2023) [CERES],PGK1,0.26262,0.42315,0.10253,2.5614,0.62063,3,ENO1,CERES,6
HK2 (3099) [CERES],GPI,-0.13109,0.29691,0.03684,-3.55836,-0.44151,7,HK2,CERES,6
SLC2A1 (6513) [CERES],GPI,0.04858,0.29691,0.03684,1.31868,0.16362000000000002,8,SLC2A1,CERES,4
FDXR (2232) [CERES],GPI,-0.07581,0.29691,0.03684,-2.05782,-0.25533,9,FDXR,CERES,6
FDXR (2232) [CERES],HSD17B12,0.11464,0.13682,0.03668,3.12541,0.8378899999999999,2,FDXR,CERES,6
FDXR (2232) [CERES],METTL1,0.0386,0.46125,0.03425,1.12701,0.08369,3,FDXR,CERES,6
FDXR (2232) [CERES],PTPMT1,0.15915,0.29125,0.08397,1.89532,0.5464399999999999,2,FDXR,CERES,6
FDXR (2232) [CERES],RNASEH2C,0.08159,0.52477,-0.0035700000000000007,-22.85434,0.15548,6,FDXR,CERES,6
SPRR2F (6705) [CERES],GPR89A,-0.01379,0.20943,0.11653,-0.11834,-0.06585,2,SPRR2F,CERES,35
SEC22B (ENSG00000265808) [RNA-seq],GPR89A,-0.12867,0.20943,0.11653,-1.10418,-0.61438,3,SEC22B,RNA-seq,35
FCGR1A (2209) [CERES],GPR89A,0.05882,0.20943,0.11653,0.50476,0.28086,5,FCGR1A,CERES,35
TMEM39A (ENSG00000176142) [RNA-seq],GPR89A,-0.11884000000000003,0.20943,0.11653,-1.0198200000000002,-0.5674399999999999,6,TMEM39A,RNA-seq,35
SPRR2E (6704) [CERES],GPR89A,-0.05879,0.20943,0.11653,-0.50451,-0.28071,7,SPRR2E,CERES,35
FAM72D (728833) [CERES],GPR89A,0.03102,0.20943,0.11653,0.2662,0.14812,9,FAM72D,CERES,35
TMED10 (10972) [CERES],GPR89A,-0.02199,0.20943,0.11653,-0.18871,-0.105,10,TMED10,CERES,26
TMED10 (ENSG00000170348) [RNA-seq],SNRPB2,-0.0403,0.15220999999999998,0.11606,-0.34723000000000004,-0.26477,7,TMED10,RNA-seq,26
TMED10 (10972) [CERES],TMED2,0.40488,0.38943,0.07816000000000001,5.18014,1.03967,1,TMED10,CERES,26
EEFSEC (60678) [CERES],GPX4,0.37953,0.58777,0.11736,3.2339,0.64571,1,EEFSEC,CERES,1
EEFSEC (60678) [CERES],PSTK,0.40854,0.62937,0.13202,3.09453,0.64913,5,EEFSEC,CERES,1
EEFSEC (60678) [CERES],SEPHS2,0.39422,0.46957,0.0715,5.51357,0.8395299999999999,4,EEFSEC,CERES,1
EEFSEC (60678) [CERES],SEPSECS,0.5246,0.631,0.07994,6.56242,0.8313799999999999,1,EEFSEC,CERES,1
EEFSEC (60678) [CERES],TXNRD1,0.06484,0.31173,0.050210000000000005,1.29138,0.208,4,EEFSEC,CERES,1
PLEKHH1 (ENSG00000054690) [RNA-seq],GPX4,-0.01854,0.58777,0.11736,-0.15798,-0.03154,6,PLEKHH1,RNA-seq,1
STARD4-AS1 (ENSG00000246859) [RNA-seq],GPX4,0.08934,0.58777,0.11736,0.76125,0.152,8,STARD4-AS1,RNA-seq,1
GPC6 (ENSG00000183098) [RNA-seq],GPX4,-0.05173,0.58777,0.11736,-0.44078,-0.08801,9,GPC6,RNA-seq,1
CARD14 (ENSG00000141527) [RNA-seq],GPX4,-0.15133,0.58777,0.11736,-1.28945,-0.25746,10,CARD14,RNA-seq,1
PTPN11 (5781) [CERES],GRB2,0.52325,0.67985,0.16738,3.12612,0.76966,1,PTPN11,CERES,27
PTPN11 (5781) [CERES],NRAS,0.10793,0.5445,0.05244,2.05816,0.19822,3,PTPN11,CERES,27
PTPN11 (5781) [CERES],SHOC2,-0.03545,0.30626,0.00259,-13.68726,-0.11575,5,PTPN11,CERES,27
SOS1 (6654) [CERES],GRB2,0.13435,0.67985,0.16738,0.80266,0.19762,2,SOS1,CERES,27
SOS1 (6654) [CERES],PTPN11,0.12596,0.6529699999999999,0.08617999999999999,1.46159,0.1929,2,SOS1,CERES,27
EXT1 (2131) [CERES],GRB2,0.015330000000000003,0.67985,0.16738,0.09159,0.02255,4,EXT1,CERES,27
EXT1 (ENSG00000182197) [RNA-seq],LDB1,-0.06667000000000001,0.13569,0.10997,-0.60626,-0.49134,5,EXT1,RNA-seq,27
EXT1 (2131) [CERES],PTPN11,0.08199,0.6529699999999999,0.08617999999999999,0.95138,0.12555999999999998,5,EXT1,CERES,27
EXT1 (2131) [CERES],SLC35B2,0.33585,0.5443,0.03722,9.02337,0.61703,3,EXT1,CERES,27
GAB1 (2549) [CERES],GRB2,-0.01782,0.67985,0.16738,-0.10646,-0.02621,5,GAB1,CERES,27
GAB1 (2549) [CERES],PTPN11,-0.11077,0.6529699999999999,0.08617999999999999,-1.28533,-0.16964,10,GAB1,CERES,27
EGFR (1956) [CERES],GRB2,-0.02559,0.67985,0.16738,-0.15289,-0.03764,6,EGFR,CERES,13
RASA1 (5921) [CERES],GRB2,-0.30047,0.67985,0.16738,-1.7951400000000002,-0.44197,7,RASA1,CERES,27
NF1 (4763) [CERES],GRB2,-0.13367,0.67985,0.16738,-0.7986,-0.19662,8,NF1,CERES,27
AC093904.4 (ENSG00000261104) [RNA-seq],GRHL2,0.147,0.32751,0.24043,0.6114,0.44884,1,AC093904.4,RNA-seq,22
AP001207.3 (ENSG00000254024) [RNA-seq],GRHL2,0.28236999999999995,0.32751,0.24043,1.17444,0.8621700000000001,2,AP001207.3,RNA-seq,22
PLA2G4F (ENSG00000168907) [RNA-seq],GRHL2,0.07052,0.32751,0.24043,0.29331,0.21532,4,PLA2G4F,RNA-seq,22
RAB25 (ENSG00000132698) [RNA-seq],GRHL2,0.19295,0.32751,0.24043,0.80252,0.58914,6,RAB25,RNA-seq,22
RAB25 (ENSG00000132698) [RNA-seq],STX4,0.15066,0.64798,0.27466,0.5485300000000001,0.23251,4,RAB25,RNA-seq,22
TMPRSS11E (ENSG00000087128) [RNA-seq],GRHL2,-0.04911,0.32751,0.24043,-0.20426,-0.14995,7,TMPRSS11E,RNA-seq,22
MARVELD3 (ENSG00000140832) [RNA-seq],GRHL2,0.26669,0.32751,0.24043,1.10922,0.8143,8,MARVELD3,RNA-seq,1
MARVELD3 (ENSG00000140832) [RNA-seq],PSTK,0.00968,0.62937,0.13202,0.07332000000000001,0.01538,9,MARVELD3,RNA-seq,1
AC105219.3 (ENSG00000254973) [RNA-seq],GRHL2,0.18406,0.32751,0.24043,0.76555,0.562,9,AC105219.3,RNA-seq,13
AC105219.3 (ENSG00000254973) [RNA-seq],ITGB1,0.03132,0.12783,0.14865,0.2107,0.24501,5,AC105219.3,RNA-seq,13
AC105219.3 (ENSG00000254973) [RNA-seq],SYS1,-0.08134,0.57892,0.062070000000000014,-1.31046,-0.1405,8,AC105219.3,RNA-seq,13
GSPT2 (ENSG00000189369) [RNA-seq],GSPT1,0.03679,0.18723,0.01302,2.82565,0.1965,1,GSPT2,RNA-seq,33
NOP10 (55505) [CERES],GSPT1,0.00433,0.18723,0.01302,0.33257,0.02313,2,NOP10,CERES,33
PTPN23 (25930) [CERES],GSPT1,0.06501,0.18723,0.01302,4.9930900000000005,0.34722,3,PTPN23,CERES,33
YJU2 (55702) [CERES],GSPT1,-0.06225,0.18723,0.01302,-4.78111,-0.33248,4,YJU2,CERES,33
CHEK1 (1111) [CERES],GSPT1,-0.05877,0.18723,0.01302,-4.51382,-0.31389,5,CHEK1,CERES,15
CHEK1 (1111) [CERES],MASTL,-0.00339,0.14573,0.12143,-0.02792,-0.02326,2,CHEK1,CERES,15
CHEK1 (1111) [CERES],RPL17,0.02122,0.41603,0.08312,0.25529,0.05101,4,CHEK1,CERES,15
CHEK1 (1111) [CERES],RPL37,0.05856,0.58253,0.10883,0.53809,0.10053,10,CHEK1,CERES,15
CHAF1B (8208) [CERES],GSPT1,-0.42065,0.18723,0.01302,-32.307990000000004,-2.2467,6,CHAF1B,CERES,33
CHMP6 (79643) [CERES],GSPT1,-0.02706,0.18723,0.01302,-2.0783400000000003,-0.14453,7,CHMP6,CERES,33
CHMP6 (79643) [CERES],PTPN23,0.01908,0.5280600000000001,0.10992,0.17357999999999998,0.03613,4,CHMP6,CERES,33
DUT (1854) [CERES],GSPT1,0.026060000000000003,0.18723,0.01302,2.0015400000000003,0.13919,8,DUT,CERES,33
ARMCX5 (64860) [CERES],GSPT1,-0.10359000000000003,0.18723,0.01302,-7.95622,-0.55328,9,ARMCX5,CERES,33
POLR3B (55703) [CERES],GSPT1,-0.05375,0.18723,0.01302,-4.12826,-0.28708,10,POLR3B,CERES,33
LINC02343 (105370158) [CN],GTF3A,0.21198000000000006,0.17911,0.08286,2.55829,1.18352,1,LINC02343,CN,37
B3GLCT (145173) [CN],GTF3A,0.19074,0.17911,0.08286,2.30196,1.06493,2,B3GLCT,CN,37
FRY (10129) [CN],GTF3A,0.17787,0.17911,0.08286,2.14663,0.99308,3,FRY,CN,37
PLUT (100861550) [CN],GTF3A,0.15535,0.17911,0.08286,1.87485,0.86734,4,PLUT,CN,37
CDX2 (1045) [CN],GTF3A,0.16227,0.17911,0.08286,1.95836,0.90598,5,CDX2,CN,37
PDX1 (3651) [CN],GTF3A,0.15177000000000002,0.17911,0.08286,1.83164,0.84736,6,PDX1,CN,37
LINC00412 (102723332) [CN],GTF3A,0.13814,0.17911,0.08286,1.66715,0.7712600000000001,7,LINC00412,CN,37
UBL3 (5412) [CN],GTF3A,0.22488,0.17911,0.08286,2.71398,1.25554,8,UBL3,CN,37
USP12-AS1 (100874070) [CN],GTF3A,0.15034,0.17911,0.08286,1.81439,0.8393700000000001,9,USP12-AS1,CN,37
LINC00457 (100874179) [CN],GTF3A,0.2098,0.17911,0.08286,2.53198,1.17135,10,LINC00457,CN,37
MRPL10 (124995) [CERES],HARS2,0.30766,0.61871,0.1146,2.6846400000000004,0.49726,1,MRPL10,CERES,3
MRPL10 (124995) [CERES],HSD17B10,0.39657,0.74443,0.13935,2.84586,0.53272,8,MRPL10,CERES,3
MRPL10 (124995) [CERES],MARS2,0.33654,0.67469,0.12432,2.70705,0.49881,8,MRPL10,CERES,3
MRPL10 (124995) [CERES],MRPL21,0.46353,0.68982,0.11945,3.88054,0.67196,3,MRPL10,CERES,3
MRPL10 (124995) [CERES],MRPS11,0.42134,0.70578,0.13408,3.14245,0.5969800000000001,5,MRPL10,CERES,3
MRPL10 (124995) [CERES],PPA2,0.07522000000000001,0.26361,0.07117000000000001,1.05691,0.28535,7,MRPL10,CERES,3
MRPL10 (124995) [CERES],RARS2,0.17334000000000002,0.49841,0.11349,1.52736,0.34779,8,MRPL10,CERES,3
MRPL46 (26589) [CERES],HARS2,0.32726,0.61871,0.1146,2.85567,0.52894,2,MRPL46,CERES,3
MRPL46 (26589) [CERES],HSD17B10,0.41379,0.74443,0.13935,2.96943,0.55585,4,MRPL46,CERES,3
MRPL46 (26589) [CERES],LRPPRC,0.29674,0.63064,0.10279,2.88686,0.47054,7,MRPL46,CERES,3
MRPL46 (26589) [CERES],MRPL33,0.31258,0.47142,0.11714,2.66843,0.66306,4,MRPL46,CERES,3
MRPL46 (26589) [CERES],MRPS11,0.61243,0.70578,0.13408,4.56765,0.8677299999999999,4,MRPL46,CERES,3
TARS2 (80222) [CERES],HARS2,0.2467,0.61871,0.1146,2.15271,0.39873,4,TARS2,CERES,3
TARS2 (80222) [CERES],MRPL33,0.07886,0.47142,0.11714,0.6732100000000001,0.16727999999999998,8,TARS2,CERES,3
MRPS16 (51021) [CERES],HARS2,0.18029,0.61871,0.1146,1.57321,0.2914,5,MRPS16,CERES,3
MRPS16 (51021) [CERES],MRPL33,0.04181,0.47142,0.11714,0.35692,0.08868999999999999,10,MRPS16,CERES,3
MRPS16 (51021) [CERES],MRPS11,0.2375,0.70578,0.13408,1.7713299999999998,0.33651,7,MRPS16,CERES,3
MRPS16 (51021) [CERES],YARS2,0.01331,0.49482,0.08893999999999999,0.14965,0.0269,10,MRPS16,CERES,3
MRPS5 (64969) [CERES],HARS2,0.17578,0.61871,0.1146,1.53386,0.28411,6,MRPS5,CERES,3
EARS2 (124454) [CERES],HARS2,0.48209,0.61871,0.1146,4.20672,0.7791899999999999,8,EARS2,CERES,3
EARS2 (124454) [CERES],MRPL21,0.43207,0.68982,0.11945,3.61716,0.62635,9,EARS2,CERES,3
HAUS4 (54930) [CERES],HAUS1,0.18477,0.32215,0.08148999999999999,2.26739,0.57355,1,HAUS4,CERES,7
HAUS4 (ENSG00000092036) [RNA-seq],VHL,-0.2294,0.48322,0.06971000000000001,-3.2907800000000003,-0.47473,6,HAUS4,RNA-seq,7
LINC01477 (101927900) [CN],HAUS1,0.02997,0.32215,0.08148999999999999,0.36778,0.09303,2,LINC01477,CN,33
LOC105372069 (105372069) [CN],HAUS1,-0.017740000000000002,0.32215,0.08148999999999999,-0.2177,-0.055070000000000015,3,LOC105372069,CN,33
PSTPIP2 (9050) [CN],HAUS1,0.00676,0.32215,0.08148999999999999,0.08295,0.02098,4,PSTPIP2,CN,33
HAUS7 (55559) [CERES],HAUS1,0.12424,0.32215,0.08148999999999999,1.5246,0.38566,5,HAUS7,CERES,33
HAUS7 (ENSG00000213397) [RNA-seq],HAUS7,-0.06711,0.29239,-0.00019,353.21053,-0.22952,5,HAUS7,RNA-seq,33
HAUS3 (79441) [CERES],HAUS1,-0.00449,0.32215,0.08148999999999999,-0.0551,-0.01394,6,HAUS3,CERES,33
HAUS3 (79441) [CERES],HAUS7,-0.1254,0.29239,-0.00019,660.0,-0.42888,9,HAUS3,CERES,33
HAUS3 (79441) [CERES],TACC3,-0.03532,0.40167,0.05067,-0.69706,-0.08793,4,HAUS3,CERES,33
RNF165 (494470) [CN],HAUS1,0.06982999999999999,0.32215,0.08148999999999999,0.8569100000000001,0.21676,7,RNF165,CN,33
ELOA3D (100506888) [CN],HAUS1,0.0264,0.32215,0.08148999999999999,0.32397,0.08195,8,ELOA3D,CN,33
C18orf12 (84322) [CN],HAUS1,0.07811,0.32215,0.08148999999999999,0.95852,0.24246,9,C18orf12,CN,33
LINC01902 (105372079) [CN],HAUS1,0.02818,0.32215,0.08148999999999999,0.34581,0.08747,10,LINC01902,CN,33
HAUS6 (54801) [CERES],HAUS7,-0.02683,0.29239,-0.00019,141.21053,-0.09176,1,HAUS6,CERES,33
HAUS1 (115106) [CERES],HAUS7,0.08182,0.29239,-0.00019,-430.63158,0.27983,2,HAUS1,CERES,33
HAUS2 (55142) [CERES],HAUS7,-0.16005999999999998,0.29239,-0.00019,842.42105,-0.54742,3,HAUS2,CERES,33
HAUS2 (55142) [CERES],TACC3,0.08769,0.40167,0.05067,1.7306099999999998,0.21831,7,HAUS2,CERES,33
TMEM187 (8269) [CN],HAUS7,0.02419,0.29239,-0.00019,-127.31579,0.08273,4,TMEM187,CN,33
NAA10 (8260) [CN],HAUS7,0.01789,0.29239,-0.00019,-94.15789,0.06119,6,NAA10,CN,9
NAA10 (ENSG00000102030) [RNA-seq],VBP1,-0.10009,0.62269,0.07719,-1.29667,-0.16074000000000002,9,NAA10,RNA-seq,9
NAA10 (ENSG00000102030) [RNA-seq],VMA21,-0.20746,0.11194,0.0016600000000000002,-124.9759,-1.85331,4,NAA10,RNA-seq,9
PLXNB3 (5365) [CN],HAUS7,0.01156,0.29239,-0.00019,-60.84211,0.03954,7,PLXNB3,CN,33
HAUS8 (93323) [CERES],HAUS7,-0.15495,0.29239,-0.00019,815.52632,-0.52994,8,HAUS8,CERES,33
RPA2 (6118) [CERES],HAUS7,-0.064,0.29239,-0.00019,336.84211,-0.21889,10,RPA2,CERES,15
RPA2 (ENSG00000117748) [RNA-seq],RPA2,0.16305,0.29579,0.06683,2.43977,0.55124,5,RPA2,RNA-seq,15
GPS2 (2874) [CERES],HDAC3,-0.19647,0.13082,-0.04786,4.1051,-1.50183,1,GPS2,CERES,25
GPS2 (2874) [CERES],TBL1XR1,-0.21259,0.1878,0.00928,-22.90841,-1.132,4,GPS2,CERES,25
NCOR1 (9611) [CERES],HDAC3,-0.17418,0.13082,-0.04786,3.63936,-1.33145,2,NCOR1,CERES,25
NCOR1 (9611) [CERES],TBL1XR1,-0.01802,0.1878,0.00928,-1.94181,-0.09595,2,NCOR1,CERES,25
NCOR1 (ENSG00000141027) [RNA-seq],UBC,0.00693,0.11489,0.06077000000000001,0.11404,0.06032000000000001,4,NCOR1,RNA-seq,25
SETD5 (55209) [CERES],HDAC3,-0.13155999999999998,0.13082,-0.04786,2.74885,-1.00566,3,SETD5,CERES,25
LRFN1 (ENSG00000128011) [RNA-seq],HDAC3,-0.03962,0.13082,-0.04786,0.82783,-0.30286,4,LRFN1,RNA-seq,25
ANKRD11 (29123) [CERES],HDAC3,0.09725,0.13082,-0.04786,-2.0319700000000003,0.74339,5,ANKRD11,CERES,25
ANKRD11 (29123) [CERES],TBL1XR1,0.031330000000000004,0.1878,0.00928,3.3760800000000004,0.16683,7,ANKRD11,CERES,25
IL17D (ENSG00000172458) [RNA-seq],HDAC3,-0.45284,0.13082,-0.04786,9.46176,-3.46155,6,IL17D,RNA-seq,20
IL17D (53342) [CERES],KIF18B,0.00718,0.51398,0.02831,0.25362,0.013969999999999998,3,IL17D,CERES,20
PCBP2 (5094) [CERES],HDAC3,-0.27667,0.13082,-0.04786,5.7808199999999985,-2.11489,7,PCBP2,CERES,25
LINC01315 (ENSG00000229891) [RNA-seq],HDAC3,-0.10615,0.13082,-0.04786,2.21793,-0.81142,8,LINC01315,RNA-seq,25
PNMA3 (ENSG00000183837) [RNA-seq],HDAC3,-0.20068,0.13082,-0.04786,4.19306,-1.5340200000000002,9,PNMA3,RNA-seq,25
NPPC (ENSG00000163273) [RNA-seq],HDAC3,-0.14718,0.13082,-0.04786,3.0752200000000003,-1.12506,10,NPPC,RNA-seq,25
ZRANB1 (54764) [CERES],HECTD1,0.14303,0.29538000000000003,-0.01949,-7.33864,0.48422,1,ZRANB1,CERES,34
ZRANB1 (54764) [CERES],PELO,-0.10816,0.10421,0.0607,-1.78188,-1.0379,5,ZRANB1,CERES,34
ZRANB1 (ENSG00000019995) [RNA-seq],SCD,-0.46879,0.65292,0.11816,-3.96742,-0.71799,8,ZRANB1,RNA-seq,34
ZRANB1 (54764) [CERES],YPEL5,-0.26975,0.57567,0.01805,-14.9446,-0.46858,10,ZRANB1,CERES,34
BIRC6 (57448) [CERES],HECTD1,-0.1282,0.29538000000000003,-0.01949,6.57773,-0.43402,4,BIRC6,CERES,14
BIRC6 (57448) [CERES],KCMF1,0.23144,0.60247,0.04969,4.65768,0.38415,2,BIRC6,CERES,14
BIRC6 (57448) [CERES],PPP1R15B,0.03255,0.25161,0.096,0.33906,0.12937,1,BIRC6,CERES,14
BIRC6 (57448) [CERES],UBR4,0.1928,0.58905,0.03204,6.01748,0.32731,2,BIRC6,CERES,14
OTUD7A (161725) [CERES],HECTD1,-0.1512,0.29538000000000003,-0.01949,7.75782,-0.51188,5,OTUD7A,CERES,14
MAPKAP1 (79109) [CERES],HECTD1,-0.06056,0.29538000000000003,-0.01949,3.10723,-0.20502,6,MAPKAP1,CERES,17
MAPKAP1 (79109) [CERES],MLST8,0.40127,0.58278,0.07994,5.01964,0.6885399999999999,2,MAPKAP1,CERES,17
MAPKAP1 (79109) [CERES],RICTOR,0.44526,0.6140100000000001,0.02679,16.620379999999994,0.72517,1,MAPKAP1,CERES,17
GSK3A (2931) [CERES],HECTD1,-0.11876,0.29538000000000003,-0.01949,6.093380000000002,-0.40206,7,GSK3A,CERES,14
MIB1 (57534) [CERES],HECTD1,0.02205,0.29538000000000003,-0.01949,-1.13135,0.07465,8,MIB1,CERES,14
OFD1 (8481) [CERES],HECTD1,0.03367,0.29538000000000003,-0.01949,-1.72755,0.11399,10,OFD1,CERES,14
OFD1 (8481) [CERES],KCMF1,0.08017,0.60247,0.04969,1.6134,0.13307,5,OFD1,CERES,14
CABIN1 (23523) [CERES],HIRA,0.48009,0.51898,-0.00656,-73.18445,0.92506,1,CABIN1,CERES,4
ASF1A (25842) [CERES],HIRA,0.0496,0.51898,-0.00656,-7.560980000000002,0.09557,2,ASF1A,CERES,4
ATRX (546) [CERES],HIRA,-0.051370000000000006,0.51898,-0.00656,7.830789999999999,-0.09898,3,ATRX,CERES,4
PDS5A (23244) [CERES],HIRA,-0.09968,0.51898,-0.00656,15.19512,-0.19207,4,PDS5A,CERES,4
HHEX (3087) [CERES],HIRA,-0.09545,0.51898,-0.00656,14.5503,-0.18392,8,HHEX,CERES,4
HIST2H4B (554313) [CERES],HIST2H3A,0.3255,0.42304,0.02256,14.42819,0.7694300000000001,1,HIST2H4B,CERES,15
HIST2H3D (653604) [CERES],HIST2H3A,0.25565,0.42304,0.02256,11.332,0.60432,2,HIST2H3D,CERES,15
HIST2H2AC (8338) [CERES],HIST2H3A,0.19067,0.42304,0.02256,8.45168,0.4507100000000001,3,HIST2H2AC,CERES,15
HIST2H2AC (8338) [CERES],HSPE1,-0.21973,0.27905,0.06256,-3.51231,-0.78742,7,HIST2H2AC,CERES,15
